handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
69,1,Hybrid-PQC,192.168.1.3,60488,2026-09-09T08:42:10.764255,2026-09-09T08:42:10.787479,1.103,23.224,1249,1268,1399,1268,SUCCESS
70,1,Hybrid-PQC,192.168.1.3,60489,2026-09-09T08:42:26.479493,2026-09-09T08:42:26.607165,1.316,127.672,1249,1268,1399,1268,SUCCESS
71,1,Hybrid-PQC,192.168.1.3,60490,2026-09-09T08:42:42.227808,2026-09-09T08:42:42.257764,0.939,29.956,1249,1268,1399,1268,SUCCESS
72,1,Hybrid-PQC,192.168.1.3,60491,2026-09-09T08:42:57.849064,2026-09-09T08:42:57.867493,1.128,18.429,1249,1268,1399,1268,SUCCESS
73,1,Hybrid-PQC,192.168.1.3,60492,2026-09-09T08:43:13.460467,2026-09-09T08:43:13.494083,1.117,33.616,1249,1268,1399,1268,SUCCESS
74,1,Hybrid-PQC,192.168.1.3,60493,2026-09-09T08:43:29.097486,2026-09-09T08:43:29.131619,1.128,34.133,1249,1268,1399,1268,SUCCESS
75,1,Hybrid-PQC,192.168.1.3,60494,2026-09-09T08:43:44.726061,2026-09-09T08:43:44.739121,1.145,13.060,1249,1268,1399,1268,SUCCESS
76,1,Hybrid-PQC,192.168.1.3,60495,2026-09-09T08:44:00.380019,2026-09-09T08:44:00.394449,1.102,14.430,1249,1268,1399,1268,SUCCESS
77,1,Hybrid-PQC,192.168.1.3,60496,2026-09-09T08:44:16.047549,2026-09-09T08:44:16.307509,0.939,259.960,1249,1268,1399,1268,SUCCESS
78,1,Hybrid-PQC,192.168.1.3,60497,2026-09-09T08:44:32.123401,2026-09-09T08:44:32.254887,1.092,131.486,1249,1268,1399,1268,SUCCESS
79,1,Hybrid-PQC,192.168.1.3,60498,2026-09-09T08:44:47.859827,2026-09-09T08:44:47.893165,1.000,33.338,1249,1268,1399,1268,SUCCESS
80,1,Hybrid-PQC,192.168.1.3,60499,2026-09-09T08:45:03.500311,2026-09-09T08:45:03.514380,1.145,14.069,1249,1268,1399,1268,SUCCESS
81,1,Hybrid-PQC,192.168.1.3,60500,2026-09-09T08:45:19.110600,2026-09-09T08:45:19.127809,0.933,17.209,1249,1268,1399,1268,SUCCESS
82,1,Hybrid-PQC,192.168.1.3,60501,2026-09-09T08:45:34.750279,2026-09-09T08:45:34.766352,1.014,16.073,1249,1268,1399,1268,SUCCESS
83,1,Hybrid-PQC,192.168.1.3,60502,2026-09-09T08:45:50.358291,2026-09-09T08:45:50.379391,1.240,21.100,1249,1268,1399,1268,SUCCESS
